参数错误,여기에 텍스트를 바꾸십시오
锁定金额不能大于%s,잠금 금액은 %s보다 클 수 없습니다.
锁仓币种不正确,잠긴 화폐가 일치하지않습니다
提交锁仓失败,잠금 요청 실패
提交锁仓成功,잠금 요청 성공
"您收到一笔锁仓收益，金额%s","잠금 수익을 받았습니다, 금액은 %s 입니다."
请输入朋友的邮箱,"친구의 이메일을 입력해주십시오"
不可以添加自己为好友,사용자 본인을 친구로 추가할 수 없습니다
格式不正确，请填写邮箱,"이메일 형식이 아닙니다, 다시 입력해주세요"
该用户不存在,해당 회원은 존재하지않습니다
"已发送请求，等待好友通过","이미 친구요청을 보냈습니다, 요청 수락을 기다려주십시오"
"您有一条好友请求，请注意查看","친구요청 메세지를 받았습니다, 확인해주십시오"
发送好友请求成功,친구요청 성공
发送好友请求失败,친구요청 실패
申请记录不存在,기록이 존재하지않습니다
该请求已处理,해당 요청이 처리중입니다.
操作成功,성공
操作失败,실패
添加成功,추가 성공
添加失败,추가 실패
好友记录不存在,친구 기록이 존재하지않습니다
删除成功,삭제 성공
删除失败,삭제 실패
短信验证码正确,휴대폰 인증번호 일치
"该用户和您已经是好友了，不可再次添加","이 회원은 이미 친구로 등록되어있습니다."
暂无,"잠시 미정"
昵称暂无,"닉네임 미정"
金额必须是整数,금액은 반드시 정수여야합니다.
锁仓,잠금
"新的好友：您的手机联系人 %s 正在使用Herperpay Wallet，立即添加好友，转账更安全、便捷。","새 친구: 휴대폰 연락처에 있는, %s 가 하이퍼페이 월렛을 이용하고있습니다. 이 친구를 등록하여 간편하고 편리한 거래를 이용하시길 바랍니다."
"该锁仓活动已结束，截止时间：%s","잠금활동이 끝났습니다, 종료 시간: %s"
"该锁仓活动未开始，起始时间：%s","잠금활동이 아직 시작되지 않았습니다, 시작 시간: %s"
"您已（或将）达到该币种锁仓限额( %s )，剩余额度：%s ，无法锁仓，请核对","사용자는 이미(혹은 앞으로) 해당 화폐 잠금 한도액 (%s) 에 도달했습니다, 잔액: %s, 잠금할 수 없으며, 확인하시길바랍니다"
"该币种已达到锁仓限额( %s )，剩余额度：%s ，无法锁仓，请核对","해당 화폐는 잠금 한도액 (%s) 에 도달했습니다, 잔액: %s, 잠금할 수 없으며, 확인하시길바랍니다"
"该币种已达到锁仓总额，无法锁仓","해당 화폐가 총 잠금액에 도달하여, 잠금할 수 없습니다."
"无法向自己转账", 본인으로 전송할 수 없습니다."
"【超级重磅福利】HPY存至钱包即可获得11种代币空投，北京时间3月26号中午12点快照，你们还在等什么？详情请关注微信公众号或官网News页。机不可失！失不再来！","[Mega Airdrop] 스냅샷 시간(2018년 3월 26일 오후 UTC+8 12시 [베이징]) 전에 HPY를 입금하면 11개의 화폐가 전송됩니다. 기회를 놓치지 마세요! 자세한 내용은 WeChat를 참조하거나 공식 웹 사이트(뉴스 섹션)를 참고하십시오."
"由于UBTC分叉升级原因，目前已暂停相关充提业务。升级完成后，会重新开启相关充提业务。","하드포크 업그레이드로 인하여, 현재 해당 입출금 서비스가 잠시 중단됩니다."
"您已被锁定，请联系管理员，谢谢","사용자의 계정이 일시 정지됩니다. 관리자를 연락하여주십시오, 감사합니다."
"禁止注册，系统检测您为恶意注册","등록할 수 없습니다, 이상 계정 등록이 시도되었습니다."
"系统检测您为恶意注册账户，禁止登录","이상 계정 등록이 시도되어, 로그인이 일시 정지됩니다."

"发送成功，邮件可能在垃圾箱中","전송을 성공하였습니다, 메일이 스팸메일함으로 전송될 수도 있으니, 확인하여주시길 바랍니다."
"注册成功，系统已经向您的邮箱发送了验证邮件，请点击邮件中的链接完成邮箱绑定（如果没有收到验证邮件，可能在垃圾箱中，或者更换一个邮箱重新注册，邮件可能在垃圾箱中）","가입에 성공하였습니다,  인증된 이메일로 확인 메일을 보냈으니, 해당 링크를 클릭하여 확인해주십시오. (메일이 스팸메일함으로 전송될 수도 있으니, 확인해주시길 바랍니다)"

"暂无该币种行情","화폐 시세가 존재하지않습니다."
"提醒：%s的%s最新成交价大于 %s %s","알림: %s 의 %s 가장 최근 거래액은 %s %s 보다 커야합니다."
"提醒：%s的%s最新成交价小于 %s %s","알림: %s 의 %s 가장 최근 거래액은 %s %s 보다 적어야합니다."
"提醒：%s的%s最新涨幅大于 %s %","알림: %s 의 %s 가장 최근 상승폭은 %s % 보다 커야합니다."
"因BCC钱包升级，目前正在同步至最新区块高度。aelf对此带来的不便深表歉意，服务将在同步后重新开放。谢谢理解","BCC 지갑의 업그레이드로 인하여, 최신 블록에 동기화 되고있습니다. 불편을 드려 죄송합니다. 감사합니다."

同意,동의
已同意,이미 동의함
抵押币种不存在,담보대출 화폐가 현재 존재하지않습니다.
借款币种不存在,대출 화폐가 현재 존재하지않습니다.
请填写金额,금액을 입력해주십시오
请选择借款天数,대출일 수를 입력해주십시오
请填写利率,이자율을 입력해주십시오
借款币种不支持,대출 화폐가 지원되지 않습니다.
借贷出资方不存在,채권자가 존재하지 않습니다.
借贷不存在,채권이 존재하지 않습니다.
请填写正确的金额,올바른 금액을 입력해주십시오
借款成功,대출 성공
借款失败,대출 실패
放贷方余额不足,채권자의 잔액이 부족합니다.
借款方不存在,채무자가 존재하지 않습니다.
放款失败,대부 실패
放款成功,대부 성공
请填写内容,내용을 입력해주십시오
放贷订单不存在,대출 주소가 존재하지않습니다.
该笔放贷订单已经不可以取消,대출 신청을 취소할 수 없습니다.
取消失败,취소 실패
取消成功,취소 성공
抵押币种不支持,담보대출 화폐를 지원하지 않습니다.
"汇率错误，请稍后再提交","환율 오류. 잠시후 다시 제출해주시길 바랍니다."
"当前已被锁定，不可以修改","이미 잠금되어, 수정할 수 없습니다."
"当前已经成交，不可以修改","이미 제출되어, 수정할 수 없습니다."
不可以贷款给自己,"본인에게 대출할 수 없습니다."
当前借款广告已经被其他用户锁定, The current loan advertisement have been locked by other users
当前借款广告已经成交,The current loan advertisement has been traded
订单不存在,신청 주소가 존재하지않습니다.
"订单状态不正确，可能订单已过期，请重新提交订单","신청 주소가 올바르지않습니다, 만료되었을 수도 있으니, 다시 제출해주시길 바랍니다."
"您的订单已过期，已经不可以放款","신청 주소가 만료되어, 대출할 수 없습니다."
"订单错误，请重新提交订单","신청 주소가 잘못되었습니다, 다시 제출해주시길 바랍니다."
借款订单不存在,대출신청 주소가 존재하지않습니다.
该笔借款订单已经不可以取消,해당 대출신청 주소를 취소할 수 없습니다.
不可以借自己发布的贷款,본인에게 대출할 수 없습니다.
当前放贷需求已经被其他用户锁定,Current loan demand has been locked by other users
当前放贷需求已经成交,Current lending demand has been traded
"该笔订单已过期，已经不可以放款","신청 주소가 만료되어, 대출할 수 없습니다."
订单错误,신청 오류
"您有一笔借款到账，金额%s","대출금이 입금되었습니다. 금액은 %s 입니다."
到期未还款,No repayment due
已过期,만료됨
已撤销,철회됨
等待放款,대부 대기중
借款中,대출중
已还款,상환됨
关闭,종료
锁定中,잠금중
开启,시작
已成交,거래종료
借贷放款人不存在,Loan lender does not exist
借款订单的状态不正确,대출 주소가 올바르지않습니다.
还款失败,상환 실패
还款成功,상환 성공
"您有一笔放款已经还款成功，金额%s","성공적으로 대출 상환을 완료하였습니다, 금액은 %s 입니다."


抵押币种汇率不存在,담보대출 화폐의 환율이 존재하지않습니다
汇率异常,환율이 올바르지않습니다.
借款币种汇率不存在,대출화폐의 환율이 존재하지않습니다.

code 错误,Code 오류
app 不存在,App이 존재하지않습니다
app 错误,App 오류
二维码已过期,QR code가 이미 만료되었습니다.
扫码失败,코드 스캔 실패
扫码成功,코드 스캔 성공
授权失败,인증 실패
授权成功,인증 성공

请选择要转移的货币和金额,전송할 화폐 및 금액을 선택하십시오.
交易所应用不存在,거래소 어플이 존재하지않습니다
交易所应用未绑定商家账号,거래소와 가맹점 계정이 연동되지 않았습니다.
交易所商家账号未开放转移资产功能,거래소 비지니스 계정이 자산 전송기능을 지원하지않습니다.
交易所商家未开启支付接口,거래소 가맹점에서의 결제 시스템이 아직 지원되지 않습니다.
商家自己不可以转移资产,본인 가맹점으로의 전송이 불가능합니다.
您还未绑定该交易所,거래소와 연동되지 않았습니다.
您没有可以转移的资产,자산을 전송할 수 없습니다.
"您的资产不足，无法转移","잔액이 부족하여, 전송 할 수 없습니다."
转移资产提交失败,자산 전송 신청 실패
"转移资产失败，失败原因：%s","자산 전송 실패, 이유: %s"
"转移资产失败，交易所没有响应请求","자산 전송 실패, 거래소가 요구에 응답하지 않습니다."
"转移资产申请提交成功，请等待审核","자산 전송 신청이 완료되었습니다, 승인을 기다려주십시오"
转移失败,자산 전송 실패
等待审核,승인 대기
转移失败,전송 실패
系统撤销,시스템 철회
用户撤销,사용자 취소
等待处理,처리 대기
已发送申请,이미 신청되었습니다.
交易所已响应请求,거래소가 요구에 응답하지 않습니다.
转移成功,전송 성공

刚刚更新,지금
5分钟前,5분 전
1小时前,1시간 전
1天前,1일 전
合约不存在,계약이 존재하지 않습니다.
用户未添加此币种,사용자가 이 화폐를 추가하지 않았습니다.
该币种暂时不允许站内转账,이 화폐는 하이퍼페이 월렛내에서 거래를 할 수 없습니다.

"通知：恭喜您获得两张《疯狂aelf，激情世界杯》竞猜门票！首战送福利，奖金不变，难度减半！第一轮竞猜机会将于25分钟后关闭，请尽快完成首战竞猜。","알림: 축하합니다! 2018 FIFA 예측 게임 2번의 무료 찬스를 획득하셨습니다! 1차 예측은 25분 안에 끝날 것입니다. 가능한 빨리 추측하여, 비트코인을 무료로 획득해보세요."
"通知：《疯狂aelf，激情世界杯》竞猜机会确认的快照时间将于1小时后（北京时间下午4点）进行，请尽快完成充币，锁定第一轮竞猜机会。","알림: 2018 FIFA 예측 프로모션이 오늘밤 진행됩니다. 예측 항목 할당은 1시간(16:00 UTC+8) 후에 시작됩니다. 할당하기 전, 화폐 보관이 준비되었는지 확인하십시오."
"恭喜您获得《疯狂aelf，激情世界杯》神秘大礼包，48场比赛，58个比特币，登录钱包查看详情。","축하합니다! 2018 FIFA 기프트팩을 받았습니다. 48번의 경기, 58개의 무료 비트코인! 자세한 내용은 하이퍼페이에 로그인하여 확인하여주십시오"

购买RAM提交失败,RAM 구입 제출 실패 
购买RAM提交成功,RAM 구입 제출 성공 
出售RAM提交失败,RAM 판매 제출 실패 
出售RAM提交成功,RAM 판매 제출 성공
金额不能小于%s,금액은 적어도 %s 보다 적어야합니다.
金额不能大于%s,금액은 적어도 %s 보다 커야합니다.

待交易,거래 대기
交易成功,거래 성공
交易失败,거래 실패

暂时未开启RAM购买功能,RAM 구입 기능이 잠시 지원되지 않습니다.
暂时未开启RAM出售功能,RAM 판매 기능이 잠시 지원되지 않습니다.

请输入短信验证码,휴대폰 인증번호를 입력해주십시오
请输入邮件中的验证码,이메일 인증번호를 입력해주십시오
该币种对应的地址和昵称已存在,화폐에 해당하는 주소 및 닉네임이 이미 존재합니다.

请填写邮箱,이메일을 입력해주십시오
请填写手机号码,휴대폰 번호를 입력해주십시오
请选择国家,국가를 선택해주십시오
邮箱格式不正确,이메일의 형식이 올바르지않습니다
手机号码格式不正确,휴대폰번호의 형식이 올바르지않습니다
"您输入的手机号码已经存在，请更换其他手机号码","입력하신 휴대폰 번호는 이미 존재합니다, 다른 번호를 입력해주십시오"
发送验证邮件成功,이메일 인증번호 전송 성공
发送验证邮件失败,이메일 인증번호 전송 실패
您的注册验证码：%s,사용자의 가입 인증번호는:%s 입니다
短信验证码已发送,휴대폰 인증번호가 이미 전송되었습니다.
发送短信验证码失败,휴대폰 인증번호 전송 실패
"你似乎还没通过邮箱验证，验证邮件有时会被邮箱误标为垃圾邮件，请注意查收。你还可以返回使⽤手机注册或重发验证邮件。","이메일이 인증되지 않았습니다. 인증 이메일이 스팸메일함으로 전송될 수도 있으니 유의하시길 바랍니다. 휴대폰인증으로 돌아가거나 인증이메일을 다시 보내실 수 있습니다."
绑定邮箱成功,이메일 연동 성공
绑定邮箱失败,이메일 연동 실패

锁仓已结束,잠금 활동이 종료되었습니다.
活动已结束,해당 이벤트는 종료되었습니다.

今天,오늘
%s天前,%s 일 전

格式不正确,형식이 올바르지않습니다

无法向该账户转账,이 계정으로 전송할 수 없습니다.

失败,실패
成功,성공적으로

理财产品不存在,해당 투자상품이 존재하지않습니다.
购买理财产品失败,투자상품 구입 실패
购买理财产品成功,투자상품 구입 성공
投资中,투자중
已到期,완료

币增宝收益,비트언 투자상품
锁仓收益,잠금 보상
理财产品,투자상품
PoS矿池,PoS 보상
空投,에어드롭
币增宝暂时不支持该币种,비트언이 해당 화폐를 지원하지않습니다
转入币增宝失败,비트언으로 전송 실패
转入币增宝成功,비트언으로 전송 성공
您的币增宝余额不足,비트언의 잔액이 부족합니다.
转出到余额失败,이체 실패
转出到余额成功,이체 성공
转入,입금
转出,출금
PoS暂时不支持该币种,PoS 가 잠시 해당화폐를 지원하지않습니다
转入PoS失败,이체 실패
转入PoS成功,이체 성공
您的PoS余额不足,사용자 PoS 잔액 부족

"抱歉，此功能暂不向您所在地区用户开放。","죄송합니다, 이 기능은 해당국가의 회원은 이용할 수 없습니다."
"输入的不是一个有效的账户","계정이 유효하지않습니다, 다시 시도해주십시오."

不可以填写此地址,주소를 입력할 수 없습니다.
%s无效,%s 무효
二维码无效,QR code가 유효하지않습니다
二维码已过期,QR code가 만료되었습니다
"生成交易失败，失败原因：%s","거래 생성에 실패하였습니다. 이유: %s"

转账最小精度为%s位,전송 최소 정밀도는 %s 입니다.

请先解绑您在该交易所的原绑定账户,"%s 계정을 사용자의 하이퍼페이와 연동해주십시오"

"PoS已关闭，暂时禁止转入","POS 채굴이 이미 종료되었습니다, 입금이 정지됩니다."


"所选共管钱包无法编辑","선택된 공동관리 지갑은 편집할 수 없습니다."
"操作错误，请稍后重试","작동 오류, 다시 시도해주십시오"
"所选共管钱包不存在，请重新选择钱包。","선택된 공동관리 지갑이 존재하지 않습니다, 다시 선택해주십시오"
"用户不可重复确认","회원을 중복확인 할 수 없습니다."
"对不起，该转账流程已结束","죄송합니다, 전송 과정이 이미 종료되었습니다."
"成功加入共享钱包","공동관리 지갑에 새 회원 추가 성공"
"邀请失败，请稍后重试","초대 실패, 다시 시도해주십시오"
该钱包已完成创建,해당 지갑이 이미 개설되었습니다.
该钱包已经被关闭,해당 지갑이 이미 폐쇄되었습니다.
该钱包创建超时,지갑 개설 시간이 초과되었습니다.
"成功加入共享钱包","공동관리 지갑에 새 회원 추가 성공"
